painting,domi_emotion,utterance_combined
alice-baber_abstract-composition-1969-1,amusement,"The colors and shapes are happy.It's a really playful color scheme and very light, almost watercolor.The bright color palette combined with the fun shapes make this painting lively. it makes me smile."
andy-warhol_oxidation-painting-1978-1,disgust,The colors are depressing and the shapes on the right side look like slime in a scary movie.Looks like somebody pooped on this painting.The shapes resemble some sort of bacteria i could observe under a microscope.
atsuko-tanaka_untitled-1976,disgust,"Looks like a child colored with a lot of different paint in circular shapes, not appealing.Looks like another mess i have to clean up.The colors and shapes have no pattern and a lot of overlap."
clyfford-still_1947-h-no-3-1947,fear,The color palette and art style. the lower-right corner looks like an attacking bear or wolf.The dark areas of paint look violent and remind me of a dark forest.The colors and strokes make it look like a scary fire.
craig-kauffman_still-life-1957,something else,"I don't know what this is about, don't like the colors very confusing.I dont know what this is, its hard to have feeling for it. its too confusing for me.Inquisitive, i think it looks like power lines on fire but it could be interpreted many ways."
david-smith_untitled-1961,something else,"I feel confused as i do not know what this is.Boredom-seems like a bland piece of metal, i don't see the symbolism.Inspired. i like this sculpture, very linear and well put together."
edward-corbett_untitled-1950,fear,It seems dark and gloomy.It is very dark and gloomy. im afraid of the dark.The painting looks very scary.Not clear what is happening in this dark painting. could easily be something scary.The darkness is consuming.The painting is extremely dark and makes you wonder what is hiding in the darkness.This looks like a dark scene with a mysterious deep.It feels like i am walking into an attic that is hiding dark demons within.
elaine-de-kooning_bacchus-3-1978,something else,"I can't tell if this is a statue of a human or tree.This is an odd picture, not sure what is going on.Confusion- have no idea what this is."
esteban-vicente_untitled-8-1997,excitement,"The colors are very vibrant and bold.The bright colors, especially the yellow, is exciting.All the bright yellow and green is like sunlight streaming into the forest excitement of life in myriad forms."
forrest-bess_night-flight-1959,fear,The white spots make me feel there is something in the dark watching me.Makes me feel like there are eyes in the night watching me.Walking in a pitch black forest and these eyes just come out of nowhere.
forrest-bess_spots-1967,amusement,Somewhat amused as it seems like a little child's painting with bright colors but the dark lines spoil the painting.I like that hole up top. then there red and blue dots. i'm just amused by the lack of structure and clear subject of this work.The blue and red balls are fun and remind me of a clown or circus.
frank-bowling_37528-2008,fear,"It looks like the artist drew a rainbow, and then scratched it out in anger with a brillo pad.The red in the painting looks like blood drops for some reason.Yellow sickness slowly encroaches on the other print."
geta-bratescu_the-rule-of-the-circle-the-rule-of-the-game-1985(6),something else,"The scrap look around the edges of the circle makes me want to see the rest filled.This piece looks unfinished, and sloppy, it looks as if someone just threw down pieces of paper or cloth, but they didn't finish.I feel confusion, this picture reminds me of a washing machine window while clothes are washing."
geta-bratescu_the-rule-of-the-circle-the-rule-of-the-game-1985(8),something else,"This makes me think someone didn't finish their project in a geometry class and it is so mathematical and causes me anxiety. i cant even look at it.The image is confusing, as i am not really certain of it's purpose or what the differing colors and patterns might represent.Anxiety.  it's an incomplete circle that's missing a chunk."
hans-hofmann_delirious-pink-1961,something else,"There is probably more to this than i can see but to me this just looks like paint smears.  it is unimpressive.The painting looks like someone was just trying out different colors on the canvas.Pink always brings the sadness out, in me.This is very simple and boring. it looks like a four year old could do it by painting a few strokes."
hans-hofmann_the-bouquet-1959,disgust,"The colors blend together to make a nasty brown color which makes me think of diarrhea.The mixing of the colors make a gross looking brown color.The mix of colors, and erratic way it is mixed together, makes me go yuck!The colors together are ugly. i hate this type of art. i don't see anything at all that makes any sense whatsoever, and i wouldn't want to stare at it too long because i find it ugly."
hans-hofmann_the-conjurer-1959,something else,This makes me confused not sure what this represents.I can say the colors are bright and make bold statement but for what purpose is unsure.I am confused by the figure on the right side that looks like a man with a distorted left arm.
helen-frankenthaler_tuscany-1963,fear,The brown line at the bottom looks like a childs chocolate mouth.The main subject in the painting looks like a monster with it's mouth open eating something.The main subject in the painting looks like monster with it's mouth open.
howard-hodgkin_all-alone-in-the-museum-of-art-1979,fear,"The dark colors looks scary and brings up fear as my first emotion.The darkness makes me fearful.The composition of the piece is confusing, dark, and otherwise feels like it might be hiding something.The dark coloring and pencl like drawing makes me feel sadd and like mad thigns are about to happen."
jack-bush_yellow-flower-1958,excitement,Gorgeous green yin and yang. so good!The high contrast of the colors and lack of any form is exciting.The combination between a drawing and painting look is especially fond to view.
jack-tworkov_thursday-1960,anger,"The lines resemble a prison cell made out of blood.This makes me feel a little aggressive. the red strokes signify blood or hate, and the black signifies death. the way they are combined is very primitive, as if full of toxicity.The red cuts through the black like scratches or scars in what feels like a fit of rage."
jack-tworkov_untitled-1955,anger,"This looks like something i would paint, rage in sharp brush strokes on a calming cream canvas.The strokes seem hurried and brash which creates an energy that feels negative.Anger management as a painting or an attempt to write in chinese.  visually, it makes me confused and upset.The scattered shapes and lines make are erratic and make me feel odd."
jackson-pollock_portrait-and-a-dream-1953,anger,"The blackness makes me angry because it seems incomplete.The face on the right seems finished, but the object on the left doesn't in comparison.  nor do i really see how the two sides are connected.The placement and color of the lines have a very aggressive feel."
