painting,domi_emotion,utterance_combined
horia-bernea_prapor-1982,positive,The pale pastel colors and gentle repeating patterns are calming.The geometry and warmth of colors in this are very pleasing.The straight lines and repeating pattern is very soothing.
jack-bush_yellow-flower-1958,positive,Gorgeous green yin and yang. so good!The high contrast of the colors and lack of any form is exciting.The combination between a drawing and painting look is especially fond to view.
joan-mitchell_posted-1977,positive,"Blues on top and yellow-greens on the bottom look like a garden in bloom, a place of rest and relaxation.The mixture of verdant green tones and muted dark blue look like a natural landscape.The lavander color of the purple really contrasts well against the grass green colors."
richard-pousette-dart_celebration-birth-1976,positive,This picture is busy yet calming.A field of daisies are growing wild in the heat of the city.All of the little dots make this very interesting to look at.Love the colors and the small dots that make it look like some reef in the ocean.
sam-francis_sulfur-sails-1969,positive,"The painting uses geometry and shape to convey infinite possibilities.Could be used for party invite, with it's splattered colors.The white center of the painting provides a contrast to the assortment of colors that act as a border for the piece.  it suggests potential to a viewer.It looks like a celebration and like it is a border for a fun message."
walasse-ting_morning-series-1974,positive,Rainbow colors in a playful explosive pattern of joy.It looks like it is raining raindrops of pure color! the colors are exciting and bright. it reminds me of a rainstorm of joy.The artwork is very bright and active. it reminds me of candy.
a.y.-jackson_nellie-lake-1933,positive,The shapes used for the mountains suggest a lot of activity.I want to explore the valley.The scene depicted looks like a land with great adventure.
boris-kustodiev_a-merchant-in-a-fur-coat-1920,positive,The big man looks funny.This man is so big! just have to smile.The man is comically fat and large.
boris-kustodiev_palm-sunday-near-the-spassky-gate-on-the-red-square-in-moscow-1917,positive,"Feels exciting; like you can feel the pulse of the event through the picture.The two columns of colorful balloons floating above the crowd shopping and milling reinforce the feeling of excitement.  lots to see and lots to do.Colorful balloons are flying.  many people are gathered, apparently in a celebratory mood."
carl-larsson_brita-and-me-1895(1),positive,Both figures depicted look like they are having fun and the vibrant colors contribute to that.The little girl is adorable and looks like she’s having fun.The face on the little girl is infectious and sets the mood for the entire piece.The happy child is precariously balanced on the man's head.The jolly faces of the man and child suggest they are entertaining a room full of guests.
carlos-saenz-de-tejada_the-portal-n-vitoria-fifties,positive,"There seems to be something festive going on. the yellow of the carriage really stands out against the other colors.I am happy to take a trip on a horse.The wonderful city that is filled with people, horses, and armour releases a western colony setting."
edmund-dulac_the-snow-queen-on-the-throne-of-ice,positive,It is a very detailed and cold looking painting of a ice queen.I feel awe viewing this image of a goddess on what appears to be pieces of a glacier because she has a mesmerizing gaze as if in a trance.The image of the solitary woman is beautiful.
eugã¨ne-grasset_inqui-tude,positive,"He's in drag, sneaking away to visit his boyfriend, the soldier.The yellow flowers are beautiful and this woman looks to be enjoing herslf.The woman looks like she's hiding from someone who might find her at any moment."
ferdinand-hodler_unity,positive,Looks like a bunch of bull fights have attended some sort of fiery sermon to prepare for the battle to the death with the bulls.It looks like a flash mob.They look like theyre about to dance and have fun.
franklin-carmichael_autumn,positive,"The colors of the trees are so beautiful.It reminds me of a warm fall day with the color scheme.The golds, yellows and reds of the trees brings contentment and peace."
henri-de-toulouse-lautrec_first-comunion-1888,positive,So much history in this pic when people dressed up in fancy clothes.  i like this sketch of the family it makes me wonder where are they going?He wanted a new automobile. she wanted another kid.They look cool and elegant with a streak of ghoulishness.  they also look like they are going trick or treating.
ivan-bilibin_illustration-for-the-magazine-art-treasures-of-russia-1903(1),positive,The vertical geometry draw the eye towards the title words at the top of the work.I really like the detail in the peoples armor and overall other things in the image.There is a sense of safety and security in this image.This looks like a flyer of kind that could be very old but in a different language that i can't understand.
ivan-bilibin_illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1906(1),positive,"Someone is presenting a golden rooster to a king wearing a golden crown.Even in ancient turkey people traded items for other things.The man on the left is deep in thought with the king, making me feel contentment for his rank."
ivan-bilibin_monastery-of-st-george-hosevita-palestine-1924,positive,The sight of a town in the middle of the cliffs symbolizes the resilience of humanity.The sand colored building was camouflaged in the mountainside.It's incredible that homes could be built into the side of rock like that.A very nice sense of scale and perspective.
ivan-bilibin_palace-of-chernomor-sketches-of-scenery-for-mikhail-glinka-s-ruslan-and-ludmilla-1900,positive,This looks exotic with the patterned tile and the gold shapes roud the entryways. the backdrop of mountains makes it seem inaccessible and hidden like a perfect archaeology find.Awe and contentment if i could pick two. a peaceful setting with impressive architecture in a exotic loaction.I'm amazed at the detail and realism. it's almost a picture.Those buildings are absolutely stunning! i love the architecture as well as the details. i wish there were places in my country which looked like this.
ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,positive,"It is sort of mystical.Catching a peacook in flight by its tail feathers.This drawing is pretty unique, and reminds me of history's drawings for churches."
ivan-bilibin_sketch-for-the-spectacle-honor-and-revenge-by-fiodor-sollogub-1908-1,positive,"The man is posing despite is excessively flamboyant close and fat body, which is hilarious.Its like a fat jolly conquistador with a floppy sword, reminds me of the don quixote style goofiness of the time.The man's big belly and his colorful and oversize clothes make this an amusing painting."
j.-e.-h.-macdonald_cathedral-peak-lake-o-hara-1927,positive,"Gorgeous scene - something out of montana or wyoming. a lovely panorama.This valley is really pretty, it reminds me of a place i'd like to go in real life.The peach colored mountains and the teal blue river create a really nice look.It's like looking at a nice view during a sunset. the use of color on the water, the mountains and the valley below is very nice."
jozsef-rippl-ronai_mansion-at-geszt-1912,positive,"The whole painting is a series of dots and the colours are pleasing.The brush strokes in this painting make it look like it was made of mosaic tiles instead of paint, especially in the green near the bottom.Scene of what appears to be austria painted in earthtones with a large white stone abbey."
jules-cheret_taverne-olympia-restaurant-1896,positive,"The couple in the artwork look like they are having a good time.  and the old fashioned costumes are nostalgic and fun!This feels fun to me, it's en francais, the woman's bright red dress makes me feel happy.It is a fun drawing of a movie, or advertisement. i like how high energy it is."
koloman-moser_the-sketch-of-the-round-window-art-1897,positive,"This looks egyptian to me, the way the woman in the middle is posed, the blue wings are lovely, and her hairstyle looks egyptian to me.This looks like a beautiful mother nature angel, just letting the world grow from her womb.It looks like a stained glass art it is beautiful."
leon-bakst_scheherezade-scenery-1910,positive,"Posh location where the owner is probably having a good time all the time.It looks like a lavishly decorated palace, and i am eager to know more about it.  the way it is presented throws off the sense of scale, i can see it being either a small room or enormous - the green up above and the red below makes for a pleasing contrast.This artwork is very bold and vibrant.  i like the contrast of the reds blending with the blue tones.I enjoy the greens and pinks of this intriguing scene."
nicholas-roerich_musiians-1921,positive,"This reminds me of a blueman group moment where one of the drummers is going to bang the drum so hard, the other two that are going to wind up affected in the wrong sort of way!The men seem to be playing drums as if in a festival.The faceless people seem to be having fun playing the drums."
nicholas-roerich_queen-of-heaven-over-river-of-life-1914,positive,"Looks like an egyptian important figure or cleopatra or something.This woman has so much detail on her face and with all her jewelry she must be royalty.The level of detail in the figure's crown / halo.She is regal, finely dressed and glows like the sun."
nicholas-roerich_vitrage-1929,positive,"The saint's visages make me love god all the more.The is a sacred religious portrait of what i think to be mary and joseph.An intriquite and beautiful stained glass of the christian religion.The figure's halo's and regal robes give me a sense of royalty and reverence.The figures are elevated by halos on their heads. the scene depicts an important encounter or event. the stars balance the dark colors - it is night time, not dark time."
raphael-kirchner_a-girl-holding-a-rose-1916,positive,The purple makes me feel very curious to know more about her.I enjoy the red rose and her black shawl.The purple dress and black shawl contrast each other very well.
raphael-kirchner_fables-1903-2,positive,She's leaning in to whisper something to the pelican beside her.I feel like this woman is talking to that bird which is just odd and silly.A woman petting a pelican on the shore.
raphael-kirchner_girls-with-purple-surrounds-1900-9,positive,"This is a picture of a young lady who seems content in the forest.The purple color makes me think of easter and spring.The light pink makes the woman look very delicate and feminine.The use of purple in this painting makes me feel joy because it is such a happy color. the woman in the painting also has a contented look on her face, and she seems really into what she is focused on. it makes me feel like all she is concerned about in the world is being pretty."
raphael-kirchner_marquisette-1,positive,"The lady is either dressing or undressing, wanting to make sure that she looks perfect. it creates a wonderment over what would be happening next.I love the female human form including breast so i am excited!The woman has beautiful breasts, it is very arousing."
raphael-kirchner_portraits-of-viennese-ladies-1901-4,positive,"The colors that are subtle with the calm face feels like happiness is in the air.The lady has her hair done and is waring clothes up to her chin.This beautiful woman is quite pleasing to look at.She looks quite pleased with herself, so i would be pleased..altho i cannot understand what is written."
