final_id,group_id,start_id,freq,text
-1,4359,0,118, me feel at peace
-1,2932,1,24, which is hilarious
-1,3542,2,16, me laugh
4,4327,3,10, me feel excited
17,3,4,6, me smile
-1,3456,5,7, me feel amazed
8,40,6,14, me feel content
-1,2215,7,7, the man's head
-1,3359,8,4, a little child's painting
-1,3655,9,6, which is exciting
-1,3551,10,6, me amused
-1,3915,11,10, this look like a great summer day
-1,3117,12,5, the level of detail is breathtaking
-1,2275,13,3, the big man looks funny
-1,4095,14,3, it is very arousing
-1,3892,15,5, people are dancing
-1,3112,16,19, i love all of the bright colors
-1,2287,17,75, the colors are warm
-1,2567,18,31, it is beautiful
-1,4023,19,24, me feel contentment
-1,3423,20,12, the view in the painting looks calm and quiet
-1,2394,21,6, this is painted
-1,3647,22,24, i love this painting
-1,3072,23,8, the image is captivating
-1,2753,24,2, black halo's over their heads
-1,2751,25,4, the detail in the painting is precise and very realistic
159,89,26,8, they are having fun
116,25,27,10, the man's face
-1,4333,28,4, the various colors of flowers make this scene calm and lovely
-1,3083,29,3, the scene depicted
-1,2209,30,2, everyone is enjoying it
-1,3337,31,3, he is dressed in
-1,4205,32,3, they are doing
-1,3715,33,3, the man's hair
-1,2852,34,2, many people are gathered apparently in a celebratory mood
-1,2535,35,2, me want to join them
-1,3511,36,5, the man's expression
-1,3215,37,2, everything is so bright and vibrant
-1,3431,38,6, the woman looks lively and happy
-1,3055,39,3, the detail is extraordinary
46,32,40,3, i would like to explore
-1,3963,41,3, the sun shines through it
-1,2313,42,7, the architecture is beautiful
-1,4091,43,5, it looks fun
-1,2495,44,9, this look very realistic
16,4,45,8, peaceful scene between a mother and child brings good feelings
-1,3519,46,6, the mix of colors is exciting
-1,3189,47,6, it looks so real
-1,2447,48,2, some many kids playing
-1,3299,49,2, a woman's body
17,3,50,4, calm water gives a sense of peace
-1,3157,51,4, the flowers are really pretty
-1,3254,52,3, a little child would draw
-1,3501,53,2, theyre about to dance and have fun
-1,2882,54,2, the people's faces
-1,3427,55,2, there is a naked woman
0,6,56,3, the nature scene is peaceful
-1,3639,57,2, the woman in the middle is posed
-1,4138,58,3, lots of detail going on
-1,2343,59,2, the people strolling
17,3,60,2, the color choices are stunning
-1,3544,61,3, details are incredible
-1,2641,62,2, you feel love
29,4271,63,3, really richthe lighting is great
-1,3991,64,2, the art work is awesome
-1,3275,65,3, the picture is very detailed
-1,4190,66,2, them kiss
-1,3115,67,3, i love a day at the beach
-1,3577,68,11, i love it
185,2014,69,2, that seem to coordinate together well
-1,3959,70,4, it feel cozy and cheerful
5,244,71,10, the woman's face
-1,3512,72,4, the bouquet of flowers look very pretty
-1,3723,73,2, someone standing
-1,3163,74,2, me feel the same
-1,2847,75,2, i enjoy
38,113,76,2, that lady's hair style
-1,2921,77,2, you look at it
-1,3682,78,2, this line drawing
-1,3291,79,2, pretty red flowers stand out nicely against the lighter colored background wall
-1,2595,80,2, they're going really really fast
-1,4243,81,2, people bustling around
-1,2401,82,2, i want to know the story behind it
-1,3091,83,2, i love this picture
1,64,84,2, the girl's head
-1,4299,85,2, men's clothing
-1,2848,86,5, the woman's dress
13,239,87,2, the woman is wearing
-1,3808,88,5, the man is wearing
-1,3716,89,2, the mans face
-1,4305,90,2, there are many people
-1,2421,91,4, the ocean is calm
70,62,92,3, the yellow flowers are beautiful
-1,2533,93,3, the view delicate view of the sea and the soft colors give me a feeling of calm
157,1060,94,3, the boats are sailing on very calm smooth waters
-1,4065,95,2, friendly animals show the peacefulness
70,62,96,2, looks so at peace reading her book
-1,2435,97,2, women sit under shade
-1,3917,98,2, the shading creates a good amount of detail in this painting
-1,3871,99,2, a great place to relax all day in the sun
-1,2975,100,2, the man takes a rest
-1,4343,101,2, the sunlight from the top is peaceful as well as the depiction of the quiet town
-1,2314,102,2, the flowers stand out much more
-1,3740,103,2, all is well
-1,2323,104,2, the painting is calming
19,13,105,2, i get from this
-1,4349,106,2, the technique used to paint this
157,1060,107,3, this is simple
-1,3693,108,2, it is bright
-1,2979,109,2, the young woman looks content with herself
-1,2342,110,2, they are happy and proud of
-1,3654,111,3, this man is standing
-1,3292,112,2, eye catching
2,251,113,2, the light and shadow is phenomenal
-1,3903,114,2, a child's fairy tale story book
-1,2487,115,2, the subject of the painting is so unique
186,179,116,6, they have
-1,2580,117,5, this beautiful woman is quite pleasing to look at
-1,2303,118,3, me feel this way
34,18,119,4, i was there
-1,2627,120,2, the light coming from the building
26,134,121,2, it is so awesome
-1,3724,122,2, the woman's expression
-1,2441,123,2, the orange glow captures a very warm feeling
-1,3947,124,2, the detail put into painting this man
7,142,125,3, this man appears very important
-1,2734,126,2, which is a bit unsettling
48,50,127,2, what is written
180,38,128,2, i love the reflection in the water
70,62,129,2, the scenery is beautiful
-1,2767,130,3, the yellow is so vibrant
-1,2721,131,3, she is having a good time
-1,2935,132,5, the sky is calm
-1,2539,133,5, the reflection on the water is very soothing
-1,3413,134,3, content looking at this
-1,3527,135,3, it is a religious scene
45,39,136,2, the cool colors still water and trees give me a feeling of comfort and contentment
-1,3700,137,2, the image is a beautiful depiction of nature at its finest
-1,3063,138,3, a nice day to walk in a park
-1,3776,139,2, the sky is very vibrant blue
-1,3232,140,2, nature's beauty
-1,2519,141,4, the flowers are colorful and well designed in the vase
-1,2241,142,2, the clouds are reflected well in the water
-1,2729,143,2, the calm water and lush trees are peaceful
-1,3379,144,2, there is a sense of safety and security in this image
-1,4375,145,2, what is going on
-1,3031,146,2, the color and and landscape is calming
-1,3876,147,2, the sun is raiseing
-1,3285,148,2, which is satisfying
-1,2805,149,2, the kids face
-1,2291,150,2, the flowers look so beautiful this just feels like a calm day
-1,2755,151,2, birds flying over it
-1,3263,152,2, the animals grazing
-1,2304,153,2, the reds and yellows are cheerful and warm
-1,3151,154,2, i was a child
-1,3623,155,2, the shoreline is nice and calm
-1,3179,156,2, the womans face
16,4,157,4, a group of people enjoying each other
-1,3419,158,3, the clouds and bright sky give it a nice feel
-1,2607,159,2, i don't know what it is
-1,3418,160,2, people taking a stroll on a nice day
-1,4247,161,2, the scene looks like a calm spring day
-1,3804,162,2, the light colors suggest a pleasant quiet day
-1,2559,163,4, which brings a smile to my face
92,28,164,4, it's like looking at a nice view during a sunset
-1,3943,165,2, the artist put into this piece
-1,3231,166,2, that stands out
-1,4307,167,3, a hard day's work
-1,3523,168,5, the sun is setting
53,522,169,2, the yellow sky contrasts well with the white and purple mountains
-1,3945,170,2, the contrast between the bold colors of the flowers and the dark background is excellent
-1,3839,171,2, it is obviously windy out
