final_id,group_id,start_id,freq,text
-1,5190,0,153, me feel sad
-1,3597,1,24, which is hilarious
-1,4526,2,17, that annoys me
16,5321,3,20, me feel confused
20,161,4,17, me laugh
-1,4399,5,10, me feel excited
-1,3574,6,6, me feel disgusted
-1,2927,7,17, it is beautiful
-1,5245,8,46, the colors used
-1,5331,9,5, which is gross
-1,2765,10,7, it is boring
-1,5221,11,11, the man's head
-1,5173,12,14, i love all of the bright colors
-1,4104,13,26, the man's face
106,4755,14,19, i feel joy from this painting
31,649,15,5, what is going on
-1,4155,16,7, me smile
31,649,17,7, me feel amazed
-1,2767,18,4, they are doing
-1,4447,19,20, the woman's face
0,5,20,5, the colors are depressing
0,5,21,8, i look at this painting
-1,5378,22,5, they are having fun
208,661,23,8, the people's faces
-1,4919,24,7, the colors are very dull and bland
-1,4620,25,6, which is exciting
-1,5306,26,6, she is naked
-1,5283,27,4, he had a hard life
-1,4063,28,5, a child's painting
-1,3397,29,6, i feel nothing
15,1314,30,10, this painting portrays
31,649,31,6, i don't know what this is
8,1,32,4, the painting is boring
-1,4439,33,3, me feel
-1,4681,34,3, me feel curious
-1,4999,35,4, i don't like this painting
28,61,36,5, a little child would draw
-1,4491,37,6, what is happening
-1,4403,38,2, the dark colors and the crowded painting look a bit scary
-1,4867,39,6, me amused
-1,3911,40,5, the architecture is beautiful
-1,5287,41,3, the big man looks funny
-1,4543,42,5, what's going on here
-1,2951,43,5, people are dancing
-1,3341,44,4, it looks so real
-1,4892,45,3, it is very arousing
3,80,46,3, the sky is dark
-1,3114,47,8, he is dying
-1,4863,48,4, the man is worried
-1,4708,49,5, i look at this
-1,3365,50,5, something is wrong
-1,4393,51,5, the level of detail is breathtaking
-1,3903,52,4, you look at it
54,12,53,3, the man's facial expression
-1,5367,54,5, i see
-1,3459,55,3, this doesnt give me any feelings
-1,5091,56,2, that has gotten completely dirty
-1,4673,57,5, i am looking at
-1,3323,58,3, eye catching
-1,2815,59,3, the men's bodies
-1,2826,60,5, the man's expression
-1,3958,61,2, i find it ugly
-1,4703,62,2, everything about the naked women is disgusting in this
-1,3063,63,2, it's hard to look at
61,63,64,4, this is supposed to be
-1,5087,65,2, there is a lot of chaos here
8,1,66,2, a bad storm approaching
-1,4583,67,2, it seems incomplete
-1,4711,68,9, i love it
-1,2975,69,8, the woman's expression
-1,4821,70,2, it will end
-1,5136,71,3, he is looking at
-1,3498,72,5, the mix of colors is exciting
-1,2769,73,3, it looks fun
-1,2887,74,2, the guy is dressed
-1,4730,75,3, the man's hair
-1,3555,76,2, this or things like this are really considered art
-1,4571,77,3, men's clothing
-1,3262,78,3, what to say
-1,3751,79,3, she is looking at
-1,4501,80,3, a storm is coming
-1,3749,81,2, they are going to do something bad
-1,5343,82,2, people are fighting
-1,3663,83,2, the image is very dark
-1,4178,84,2, the dark colours feel grim
-1,2763,85,2, it's creepy
3,80,86,2, this painting inspires fear
67,109,87,2, something is hiding in the darkness
-1,2991,88,2, the man's severed head
-1,3149,89,2, lots to see
-1,5307,90,2, me want to join them
-1,3824,91,2, the scene depicted
-1,4478,92,3, what is going on in this picture
-1,4431,93,2, i see no purpose in it
-1,3452,94,2, it leads to
-1,4561,95,2, it does not spark joy
-1,4849,96,4, i feel nothing for this
-1,4147,97,2, me feel anything
0,5,98,2, what is this
-1,3711,99,2, me feel uncomfortable
-1,4665,100,2, everyone is enjoying it
