final_id,group_id,start_id,freq,text
-1,7147,0,156, me feel sad
-1,4703,1,121, me feel calm
-1,5763,2,24, which is hilarious
20,7095,3,17, that annoys me
23,157,4,20, me feel confused
-1,4319,5,17, me laugh
-1,4372,6,10, me feel excited
-1,6327,7,6, me feel disgusted
-1,6147,8,90, the colors used
250,5715,9,11, the man's head
-1,5959,10,32, it is beautiful
-1,6097,11,12, this painting portrays
-1,6867,12,7, it is boring
-1,5101,13,5, which is gross
147,3603,14,19, i love all of the bright colors
26,862,15,12, the view in the painting looks calm and quiet
-1,4701,16,28, the man's face
26,862,17,27, i love this painting
-1,5963,18,8, they are having fun
-1,5107,19,7, me feel amazed
0,1,20,7, me smile
0,1,21,27, me feel happy
-1,7194,22,26, the woman's face
-1,442,23,5, the colors are depressing
-1,6433,24,8, i look at this painting
-1,5942,25,5, they are doing
-1,7072,26,6, i don't know what this is
-1,7035,27,10, this look like a great summer day
-1,4589,28,14, me feel content
-1,5563,29,6, which is exciting
33,3502,30,5, the painting is boring
26,862,31,8, the colors are very dull and bland
8,2,32,6, she is naked
-1,5630,33,7, what is going on
-1,6037,34,6, what is happening
-1,6566,35,13, i love it
48,33,36,9, the woman's expression
-1,5702,37,9, the man's expression
-1,4591,38,4, he had a hard life
-1,5631,39,3, me feel
-1,4103,40,4, i don't like this painting
-1,5327,41,5, the level of detail is breathtaking
-1,5151,42,7, i feel nothing
-1,5569,43,5, a little child would draw
-1,4040,44,10, the people's faces
-1,6377,45,3, me feel curious
4,432,46,8, he is dying
-1,3706,47,5, people are dancing
-1,4479,48,5, a child's painting
-1,6087,49,2, the dark colors and the crowded painting look a bit scary
-1,3693,50,3, the big man looks funny
-1,5553,51,5, what's going on here
-1,5623,52,4, you look at it
64,20,53,6, me amused
-1,7176,54,3, it is very arousing
-1,4508,55,3, the sky is dark
-1,6725,56,6, it looks so real
-1,5401,57,5, i am looking at
-1,6855,58,9, the image is captivating
-1,6031,59,7, the architecture is beautiful
-1,6647,60,4, the man is worried
-1,4905,61,6, i look at this
-1,6076,62,3, this doesnt give me any feelings
-1,6175,63,5, something is wrong
70,414,64,7, i see
-1,6009,65,3, the men's bodies
8,2,66,4, eye catching
-1,5309,67,6, the woman looks lively and happy
-1,4695,68,2, that has gotten completely dirty
-1,5119,69,2, everything about the naked women is disgusting in this
-1,6254,70,2, i find it ugly
-1,5775,71,3, he is looking at
-1,6029,72,1, the moonlight reflects on the clouds and waves
-1,5018,73,1, the nonsense scribbling
-1,6803,74,2, women sit under shade
-1,5641,75,1, the pastel colors remind me of a nice spring day in the park
-1,5279,76,4, this is supposed to be
-1,6539,77,9, this look very realistic
-1,6696,78,8, peaceful scene between a mother and child brings good feelings
122,3687,79,2, there is a lot of chaos here
-1,5297,80,2, it seems incomplete
-1,3902,81,4, i feel nothing for this
-1,4620,82,4, the various colors of flowers make this scene calm and lovely
-1,5717,83,2, it's hard to look at
176,4201,84,3, it will end
-1,7133,85,2, black halo's over their heads
-1,7007,86,5, the painting is so real
-1,5219,87,3, she is looking at
-1,6119,88,3, what is going on in this picture
4,432,89,3, what to say
80,269,90,3, he is dressed in
-1,6363,91,3, the scene depicted
-1,3758,92,3, men's clothing
-1,6229,93,3, the man's hair
-1,4709,94,2, a bad storm approaching
-1,5681,95,2, me want to join them
-1,3623,96,2, lots to see
-1,4206,97,4, the sun shines through it
-1,5287,98,2, they are going to do something bad
-1,5615,99,3, a storm is coming
-1,5169,100,2, the dark colours feel grim
0,1,101,2, it's creepy
-1,3691,102,2, you to feel fear in this picture
-1,5393,103,2, this painting inspires fear
-1,4713,104,2, people are fighting
40,408,105,2, something is hiding in the darkness
-1,5617,106,3, it is on fire
0,1,107,4, it's like looking at a nice view during a sunset
281,4353,108,2, i see no purpose in it
-1,6366,109,2, it does not spark joy
-1,5016,110,2, it leads to
-1,5999,111,2, me feel anything
-1,6807,112,2, what is this
-1,5009,113,2, me feel uncomfortable
-1,5567,114,1, the linear formation of the soldiers reminds me of a firing squad
355,3854,115,1, the guy looks very mean
-1,4527,116,2, this or things like this are really considered art
-1,6347,117,1, she did some evil things
-1,6479,118,1, two girls doing physical labor
-1,3871,119,1, i like the backgroud colors with while and blue tripes
-1,4943,120,1, the womans face and the knife being held by the man
-1,4367,121,1, the man is holding a sword over the animal
-1,5855,122,1, a prison cell made out of blood
-1,6607,123,1, this creates the impression of nazi or communist values
-1,6583,124,1, me think of a swastika which only gives me anger
-1,3783,125,1, the strokes look even rougher and more aggressive
-1,6200,126,1, the deep red used
17,102,127,5, the sun is setting
-1,4619,128,2, everyone is enjoying it
186,4027,129,6, the mix of colors is exciting
-1,4440,130,5, it looks fun
-1,4735,131,3, i would like to explore
-1,4095,132,1, she is up to something
-1,4639,133,1, the expressions are all blank solemn or very pious
-1,3644,134,3, the detail is extraordinary
