painting,domi_emotion,utterance_combined
alice-baber_abstract-composition-1969-1,amusement,"The colors and shapes are happy.It's a really playful color scheme and very light, almost watercolor.The bright color palette combined with the fun shapes make this painting lively. it makes me smile."
esteban-vicente_untitled-8-1997,excitement,"The colors are very vibrant and bold.The bright colors, especially the yellow, is exciting.All the bright yellow and green is like sunlight streaming into the forest excitement of life in myriad forms."
forrest-bess_spots-1967,amusement,Somewhat amused as it seems like a little child's painting with bright colors but the dark lines spoil the painting.I like that hole up top. then there red and blue dots. i'm just amused by the lack of structure and clear subject of this work.The blue and red balls are fun and remind me of a clown or circus.
horia-bernea_prapor-1982,contentment,The pale pastel colors and gentle repeating patterns are calming.The geometry and warmth of colors in this are very pleasing.The straight lines and repeating pattern is very soothing.
jack-bush_yellow-flower-1958,excitement,Gorgeous green yin and yang. so good!The high contrast of the colors and lack of any form is exciting.The combination between a drawing and painting look is especially fond to view.
joan-mitchell_posted-1977,contentment,"Blues on top and yellow-greens on the bottom look like a garden in bloom, a place of rest and relaxation.The mixture of verdant green tones and muted dark blue look like a natural landscape.The lavander color of the purple really contrasts well against the grass green colors."
joan-mitchell_untitled-1973,amusement,"The combination of colors and playfulness of the image.I like the contrast of the warm yellow/orange/red colors with the cool blue. reminds me of the beach on a summer day.Though i am not a fan of watercolor, i do like how the artist achieves solidity in the subjects.  i can see the hair, scarves, skirts, and shoes without the annoying wishy-washy watercolor effect.  i like the way the background keeps the eyes moving, but wish the shoes could be grounded on something--they look like they are levitating.  if they are levitating, there should be action lines to denote this, but these are not visible."
john-mccracken_mandala-i-1972,excitement,The multiple colours looks like a target pad.I love the bold defined color blocking. rainbows are so joyful.Looks like a dart board. makes me want to play darts.
paul-jenkins_not_detected_235722,awe,Even though i don't know what it is but i like the strokes of colors it has.The deep bold colors have so much depth and beauty.The white dots on the painting make me want to guess what this is.
richard-pousette-dart_celebration-birth-1976,awe,This picture is busy yet calming.A field of daisies are growing wild in the heat of the city.All of the little dots make this very interesting to look at.Love the colors and the small dots that make it look like some reef in the ocean.
ronnie-landfield_untitled-1969,excitement,"The streaks of white, yellow  and red look like fireworks.Fireworks bright enough to streak the sky at sunset.The bright yellows and oranges and the curious streamers evoke the idea of fire, energy, and change.A burst of heat and energy in this beautiful painting of sunburst tones of yellow and mango orange."
sam-francis_sulfur-sails-1969,excitement,"The painting uses geometry and shape to convey infinite possibilities.Could be used for party invite, with it's splattered colors.The white center of the painting provides a contrast to the assortment of colors that act as a border for the piece.  it suggests potential to a viewer.It looks like a celebration and like it is a border for a fun message."
sam-francis_untitled-1990,excitement,The mix of colors is exciting and some give a motion feeling. a smear here and there adds dimension.The free spirit of the splattering coupled with the rainbow colors are exciting.The splatter of red green and blue complement each other and the horizontal and diagonal lines suggest movement.
sam-francis_untitled-1990-1,amusement,"The watercolors are bright and contrasting and give a sense of motion.I love all of the bright colors, but this picture looks like an organized mess.Reds, yellows, blacks and blues  dance across the canvas in this piece i can see shapes in the piece that almost look like colorful animals.The shapes look like pipes and people."
walasse-ting_morning-series-1974,excitement,Rainbow colors in a playful explosive pattern of joy.It looks like it is raining raindrops of pure color! the colors are exciting and bright. it reminds me of a rainstorm of joy.The artwork is very bright and active. it reminds me of candy.
willem-de-kooning_two-figures,contentment,"The soft, clay tones of the painting give it a warm, calm aura.The mountains and nature depicted in this image make me feel very relaxed. i like how the colors are soft as well as they add peacefulness to the image.At first this painting looks like just a bunch of squiggles but the colors seem to be balanced and peaceful."
a.y.-jackson_nellie-lake-1933,excitement,The shapes used for the mountains suggest a lot of activity.I want to explore the valley.The scene depicted looks like a land with great adventure.
alexandre-benois_cover-page-1904(4),amusement,"I like the curious layering, like the people on the top of the hat.The cyrillic writing in this painting leads one to believe that some state-sponsored entertainment such as a play is being advertised.This picture has a happy holiday feel with the jewel tone colors of detailed people grouped together at the top and bottom."
alexandre-benois_peterhof-palace-mon-plaisir-medium-room(1),awe,"Wow, i would love to walk i to this room. the blues are calming and that ceiling is amzing. you want to go look out those windows and stand by that fireplace and look at the ceilings and paintings.The store work and ceiling of the building in the painting makes me feel amazed.A room with elegance."
alphonse-mucha_ruby,awe,"Shows a mixture of beauty with the flowers but also a sense of authority with the posture and facial features of the woman.I am extremely appreciative of the way femininity is depicted in this one, especially the position she is in and her body language. the way her head is thrown back, she definitely looks like a tough woman by nature.The red of the flower and her expresion brings so much power."
alphonse-mucha_salome-1897,excitement,"Lovely use of gradient colours and styles, love the line work.Bringing music, excitement and the element of dance to life.The woman looks lively and happy."
anna-ostroumova-lebedeva_pavlovsk-novosilviysky-bridge-1921,contentment,A good view come from the best feeling.This is a peaceful and calm fall setting.Looks a bit like it isnt finished but is still a nice piece of a bridge over a stream.Nice simple scene peaceful has a calming effect.The greens and blues make me think of walks through the woods and hikes to new places with family.
aubrey-beardsley_lysistrata-defending-the-acropolis-1896,amusement,"It looks like these women are getting their revenge on an evil man who thought he was superior.Her farting towards the man is hilarious.This depicts a person farting , which is quite amusing.This is very juvenile but farting on a man to keep him away is funny."
boris-kustodiev_a-merchant-in-a-fur-coat-1920,amusement,The big man looks funny.This man is so big! just have to smile.The man is comically fat and large.
boris-kustodiev_easter-greeting-1916,amusement,"Very colorful and sweet, like a cherry or rose.The expression in this mans eyes made me giggle a little.Love the dress and the shawl, wonder about the really tall cake on the table."
boris-kustodiev_in-the-market-day-1922,contentment,The people are dressed in warm clothes to protect against the cold weather.The pops of color against the bleakness of the white snow make it feel cozy and cheerful.A contented group of villagers enjoying the company in new snow.
boris-kustodiev_meeting-easter-day-1917,amusement,"Love, joy and laughter is what i see while looking a group of people enjoying each other.I like the people's weird hats and fat faces, they look cheerful and it makes me smile.I feel amusement to see the laughter and social companionship the people felt together to just enjoy the day outside amongst cows and the community."
