painting,domi_emotion,utterance_combined
alice-baber_abstract-composition-1969-1,positive,"The colors and shapes are happy.It's a really playful color scheme and very light, almost watercolor.The bright color palette combined with the fun shapes make this painting lively. it makes me smile."
andy-warhol_oxidation-painting-1978-1,negative,The colors are depressing and the shapes on the right side look like slime in a scary movie.Looks like somebody pooped on this painting.The shapes resemble some sort of bacteria i could observe under a microscope.
atsuko-tanaka_untitled-1976,negative,"Looks like a child colored with a lot of different paint in circular shapes, not appealing.Looks like another mess i have to clean up.The colors and shapes have no pattern and a lot of overlap."
clyfford-still_1947-h-no-3-1947,negative,The color palette and art style. the lower-right corner looks like an attacking bear or wolf.The dark areas of paint look violent and remind me of a dark forest.The colors and strokes make it look like a scary fire.
edward-corbett_untitled-1950,negative,It seems dark and gloomy.It is very dark and gloomy. im afraid of the dark.The painting looks very scary.Not clear what is happening in this dark painting. could easily be something scary.The darkness is consuming.The painting is extremely dark and makes you wonder what is hiding in the darkness.This looks like a dark scene with a mysterious deep.It feels like i am walking into an attic that is hiding dark demons within.
esteban-vicente_untitled-8-1997,positive,"The colors are very vibrant and bold.The bright colors, especially the yellow, is exciting.All the bright yellow and green is like sunlight streaming into the forest excitement of life in myriad forms."
forrest-bess_night-flight-1959,negative,The white spots make me feel there is something in the dark watching me.Makes me feel like there are eyes in the night watching me.Walking in a pitch black forest and these eyes just come out of nowhere.
forrest-bess_spots-1967,positive,Somewhat amused as it seems like a little child's painting with bright colors but the dark lines spoil the painting.I like that hole up top. then there red and blue dots. i'm just amused by the lack of structure and clear subject of this work.The blue and red balls are fun and remind me of a clown or circus.
frank-bowling_37528-2008,negative,"It looks like the artist drew a rainbow, and then scratched it out in anger with a brillo pad.The red in the painting looks like blood drops for some reason.Yellow sickness slowly encroaches on the other print."
hans-hofmann_the-bouquet-1959,negative,"The colors blend together to make a nasty brown color which makes me think of diarrhea.The mixing of the colors make a gross looking brown color.The mix of colors, and erratic way it is mixed together, makes me go yuck!The colors together are ugly. i hate this type of art. i don't see anything at all that makes any sense whatsoever, and i wouldn't want to stare at it too long because i find it ugly."
helen-frankenthaler_tuscany-1963,negative,The brown line at the bottom looks like a childs chocolate mouth.The main subject in the painting looks like a monster with it's mouth open eating something.The main subject in the painting looks like monster with it's mouth open.
horia-bernea_prapor-1982,positive,The pale pastel colors and gentle repeating patterns are calming.The geometry and warmth of colors in this are very pleasing.The straight lines and repeating pattern is very soothing.
howard-hodgkin_all-alone-in-the-museum-of-art-1979,negative,"The dark colors looks scary and brings up fear as my first emotion.The darkness makes me fearful.The composition of the piece is confusing, dark, and otherwise feels like it might be hiding something.The dark coloring and pencl like drawing makes me feel sadd and like mad thigns are about to happen."
jack-bush_yellow-flower-1958,positive,Gorgeous green yin and yang. so good!The high contrast of the colors and lack of any form is exciting.The combination between a drawing and painting look is especially fond to view.
jack-tworkov_thursday-1960,negative,"The lines resemble a prison cell made out of blood.This makes me feel a little aggressive. the red strokes signify blood or hate, and the black signifies death. the way they are combined is very primitive, as if full of toxicity.The red cuts through the black like scratches or scars in what feels like a fit of rage."
jack-tworkov_untitled-1955,negative,"This looks like something i would paint, rage in sharp brush strokes on a calming cream canvas.The strokes seem hurried and brash which creates an energy that feels negative.Anger management as a painting or an attempt to write in chinese.  visually, it makes me confused and upset.The scattered shapes and lines make are erratic and make me feel odd."
jackson-pollock_portrait-and-a-dream-1953,negative,"The blackness makes me angry because it seems incomplete.The face on the right seems finished, but the object on the left doesn't in comparison.  nor do i really see how the two sides are connected.The placement and color of the lines have a very aggressive feel."
jean-paul-riopelle_conversation-1946,negative,"The black figures looks like evil spirits.The black lines look scary, intense and aggressive.The black looks like nettles growing on a beach.There is so much confusion in this work.  the colors and the lines seem almost frantic."
jean-paul-riopelle_pavane-1954,negative,"The darkness at the bottom of the central panel reminds one of a mysterious, oppressive abyss.The chaos of the colors gives me a very unnerving feeling. the sharp contrast of colors makes me feel fear and anxiety.This made me think of the amount of plastic in our ocean."
joan-mitchell_posted-1977,positive,"Blues on top and yellow-greens on the bottom look like a garden in bloom, a place of rest and relaxation.The mixture of verdant green tones and muted dark blue look like a natural landscape.The lavander color of the purple really contrasts well against the grass green colors."
joan-mitchell_untitled-1964(1),negative,"This image lacks coherent structure or purpose and looks like a mess of accidental colors splashed on top of each other.I dont like it, it just looks like a blob of brush strokes.It looks too disorganized and random."
joan-mitchell_untitled-1973,positive,"The combination of colors and playfulness of the image.I like the contrast of the warm yellow/orange/red colors with the cool blue. reminds me of the beach on a summer day.Though i am not a fan of watercolor, i do like how the artist achieves solidity in the subjects.  i can see the hair, scarves, skirts, and shoes without the annoying wishy-washy watercolor effect.  i like the way the background keeps the eyes moving, but wish the shoes could be grounded on something--they look like they are levitating.  if they are levitating, there should be action lines to denote this, but these are not visible."
john-mccracken_mandala-i-1972,positive,The multiple colours looks like a target pad.I love the bold defined color blocking. rainbows are so joyful.Looks like a dart board. makes me want to play darts.
paul-jenkins_not_detected_235722,positive,Even though i don't know what it is but i like the strokes of colors it has.The deep bold colors have so much depth and beauty.The white dots on the painting make me want to guess what this is.
richard-diebenkorn_albuquerque-no-11,negative,"I don't like abstract art. i could stare at a dirty shower and see the same thing.The ripped and falling textures look like peeling flesh.It looks like a run down house that's been abandoned, like the walls. gross."
richard-pousette-dart_celebration-birth-1976,positive,This picture is busy yet calming.A field of daisies are growing wild in the heat of the city.All of the little dots make this very interesting to look at.Love the colors and the small dots that make it look like some reef in the ocean.
ronnie-landfield_untitled-1969,positive,"The streaks of white, yellow  and red look like fireworks.Fireworks bright enough to streak the sky at sunset.The bright yellows and oranges and the curious streamers evoke the idea of fire, energy, and change.A burst of heat and energy in this beautiful painting of sunburst tones of yellow and mango orange."
salvador-dali_arabs,negative,"It just looks like curdled milk; so gross and nauseating looking.The jumbled, twisted shapes of the picture do not depict anything clearly, but somewhat evoke the idea of rotten food or filth thanks to their putrid colors and shapes.Interesting texture but it looks like squeezed toothpaste noodles covered in mustard vomit."
salvador-dali_faciamus-hominem-genesis-1-26-1964,negative,"This person has some very dirty feet and perhaps some fungal issues.  he also appears to be missing an eye, not a very attractive painting.No one understands why he woud bring this back to everyone's memory, we want it gone.The large foot and man's face are gross looking.The figure in the middle reminds me of afterbirth.It looks like a big pile of poop and it makes me feel nauseous to look at it.The painting is nothing more than a blob and a foot making me feel disgusted."
salvador-dali_religious-scene-in-particles,negative,The subject on the left hand side looks like a demon emerging from the shadows.The tiny dark spots look like a ton of blood spatter.It feels like a scary clash between dark forces such as bats versus other birds in the white.
sam-francis_flash-point(1),negative,"It looks like a bloodstain around a light switch, with growths of black mildew - gross.It almost looks like an overhead shot of a sink, full of blood and gory bits from a recent slaughter.This looks like a plate of human blood which is gross."
sam-francis_sulfur-sails-1969,positive,"The painting uses geometry and shape to convey infinite possibilities.Could be used for party invite, with it's splattered colors.The white center of the painting provides a contrast to the assortment of colors that act as a border for the piece.  it suggests potential to a viewer.It looks like a celebration and like it is a border for a fun message."
sam-francis_untitled-1990,positive,The mix of colors is exciting and some give a motion feeling. a smear here and there adds dimension.The free spirit of the splattering coupled with the rainbow colors are exciting.The splatter of red green and blue complement each other and the horizontal and diagonal lines suggest movement.
sam-francis_untitled-1990-1,positive,"The watercolors are bright and contrasting and give a sense of motion.I love all of the bright colors, but this picture looks like an organized mess.Reds, yellows, blacks and blues  dance across the canvas in this piece i can see shapes in the piece that almost look like colorful animals.The shapes look like pipes and people."
sam-francis_untitled-sf-236-1978,negative,"This looks like fabric design for generic boardshorts from the eighties.Another abstract expressionist rehashing the ideas of jackson pollock, annoying.This looks like a knit blanket that has gotten completely dirty."
sam-francis_untitled-sf76-176-1976,negative,Fear that something bad happened with what appears to be blood splatters and pools.The splatters look like a pool of blood.This looks like blood which make me fear that something is wrong or someone is hurt.
terry-frost_winter-1956-yorkshire-1956,negative,There's not a lot going on in this painting and the colors are very dull and bland.It looks like a closeup of a shirt that is dirty. not appealing to me.This is an ugly painting that looks like dirty curtains.
walasse-ting_morning-series-1974,positive,Rainbow colors in a playful explosive pattern of joy.It looks like it is raining raindrops of pure color! the colors are exciting and bright. it reminds me of a rainstorm of joy.The artwork is very bright and active. it reminds me of candy.
willem-de-kooning_asheville(1),negative,This looks like people marching to war with violence and weapons.The painting has lots of sharp and heavy black lines which look overbearing and don't harmonize with the other colors and shapes in the painting.I do not like the distortion of the shapes or the use of the dark colors.
willem-de-kooning_fire-island,negative,"The various shapes barely resemble a bird, if anything at all.The white parts of the painting remind me of body parts.It is easy to see inappropriate-looking items in this painting."
willem-de-kooning_the-wave,negative,"The painting looks like a group of random, uneven shapes with no meaning.A blue background with different spots and shapes in different colors, grey, mustard, black and red.The curved lines throughout the work contrast unpleasantly with the reddish orange square - the entire work is discordant and irksome, as if it were made by different artists who refused to communicate with each other."
willem-de-kooning_two-figures,positive,"The soft, clay tones of the painting give it a warm, calm aura.The mountains and nature depicted in this image make me feel very relaxed. i like how the colors are soft as well as they add peacefulness to the image.At first this painting looks like just a bunch of squiggles but the colors seem to be balanced and peaceful."
willem-de-kooning_untitled-woman,negative,"Everything about the naked women is disgusting in this.The distortion of the figure takes away the human qualities and makes the figure look like a bag of meat. the use of red intensifies my repulsion and adds to the graphic nature of the image.This reminds me of the man known as sloth in the film se7en, one of the most grotesque scenes in movie history ever."
willem-de-kooning_woman-3,negative,"It looks dirty, like the bottom of a trash can that needs to be washed.I don't know what this is, it's not interesting in an abstract way, the color is lacking, and makes me think of a leftover meat sandwich in the fridge.It looks like unseasoned chicken meat. the top looks like a chicken's organs."
william-congdon_piazza-san-marco-no-5-1958,negative,"For some reason, this painting makes me think of a cemetery, or somewhere being caged in. it is very minimalist, so i could be getting the wrong impression. but the grey colors and lines leave me feeling like i am left alone in a lonely graveyard.This painting's white color is freezing cold. the greys are alomost suffocating.This looks lonely and unsafe because it seems like an isolated yard during winter and it has a wierd object in it that has cover over it. so it is a little creepy."
franz-kline_mahoning-1956,negative,"The intensity of black colors reminds me of the ruins after a fire.The hard and thick black strokes against white makes the strokes look even rougher and more aggressive. gives me a feeling of anger.The brushstrokes appear harsh and haphazard, and the dark smeared black evokes hostility."
a.y.-jackson_nellie-lake-1933,positive,The shapes used for the mountains suggest a lot of activity.I want to explore the valley.The scene depicted looks like a land with great adventure.
a.y.-jackson_wilderness-deese-bay,negative,"It appears that there was a bad fire here that did a great deal of image.The scenery looks dead and barren.This instills a feeling of death and destruction, sadness and loss.It looks as if damage from fire of lava has occurred destroying natural beauty."
aladar-korosfoi-kriesch_memory-1905,negative,I feel the sadness of the angel.The angel is crying.This painting makes me feel sad because it lacks color and does a very good job of portraying pain on the angel's face.Best brandy makes me feel sad for the angel who was being punished.
